I,R,B
1,1.0,2.0000000000000002e-07
1,1.0909090909090908,1.8333333333333336e-07
1,1.1818181818181819,1.6923076923076923e-07
1,1.2727272727272727,1.5714285714285714e-07
1,1.3636363636363638,1.4666666666666666e-07
1,1.4545454545454546,1.375e-07
1,1.5454545454545454,1.2941176470588236e-07
1,1.6363636363636362,1.2222222222222222e-07
1,1.7272727272727273,1.1578947368421052e-07
1,1.8181818181818183,1.0999999999999999e-07
1,1.9090909090909092,1.0476190476190476e-07
1,2.0,1.0000000000000001e-07
1,2.090909090909091,9.565217391304349e-08
1,2.1818181818181817,9.166666666666668e-08
1,2.2727272727272725,8.800000000000001e-08
1,2.3636363636363638,8.461538461538461e-08
1,2.4545454545454546,8.148148148148148e-08
1,2.5454545454545454,7.857142857142857e-08
1,2.6363636363636367,7.586206896551724e-08
1,2.7272727272727275,7.333333333333333e-08
1,2.8181818181818183,7.096774193548388e-08
1,2.909090909090909,6.875e-08
1,3.0,6.666666666666667e-08
1,3.090909090909091,6.470588235294118e-08
1,3.1818181818181817,6.285714285714286e-08
1,3.272727272727273,6.111111111111111e-08
1,3.3636363636363638,5.945945945945946e-08
1,3.4545454545454546,5.789473684210526e-08
1,3.5454545454545454,5.641025641025642e-08
1,3.6363636363636362,5.500000000000001e-08
1,3.7272727272727275,5.365853658536585e-08
1,3.8181818181818183,5.238095238095238e-08
1,3.909090909090909,5.116279069767442e-08
1,4.0,5.0000000000000004e-08
1,4.090909090909091,4.8888888888888894e-08
1,4.181818181818182,4.7826086956521745e-08
1,4.272727272727273,4.680851063829787e-08
1,4.363636363636363,4.583333333333334e-08
1,4.454545454545455,4.489795918367347e-08
1,4.545454545454545,4.4000000000000004e-08
1,4.636363636363637,4.313725490196078e-08
1,4.7272727272727275,4.230769230769231e-08
1,4.818181818181818,4.150943396226415e-08
1,4.909090909090909,4.074074074074074e-08
1,5.0,4e-08
1,5.090909090909091,3.9285714285714285e-08
1,5.181818181818182,3.859649122807018e-08
1,5.2727272727272725,3.793103448275863e-08
1,5.363636363636363,3.728813559322034e-08
1,5.454545454545455,3.6666666666666664e-08
1,5.545454545454546,3.60655737704918e-08
1,5.636363636363637,3.548387096774194e-08
1,5.7272727272727275,3.492063492063492e-08
1,5.818181818181818,3.4375e-08
1,5.909090909090909,3.384615384615384e-08
1,6.0,3.3333333333333334e-08
1,6.090909090909091,3.283582089552239e-08
1,6.181818181818182,3.235294117647059e-08
1,6.2727272727272725,3.1884057971014494e-08
1,6.363636363636364,3.142857142857142e-08
1,6.454545454545455,3.098591549295774e-08
1,6.545454545454546,3.0555555555555556e-08
1,6.636363636363637,3.0136986301369865e-08
1,6.7272727272727275,2.972972972972973e-08
1,6.818181818181818,2.9333333333333335e-08
1,6.909090909090909,2.894736842105263e-08
1,7.0,2.8571428571428572e-08
1,7.090909090909091,2.820512820512821e-08
1,7.181818181818182,2.7848101265822786e-08
1,7.2727272727272725,2.7500000000000005e-08
1,7.363636363636364,2.716049382716049e-08
1,7.454545454545455,2.6829268292682925e-08
1,7.545454545454546,2.650602409638554e-08
1,7.636363636363637,2.619047619047619e-08
1,7.7272727272727275,2.588235294117647e-08
1,7.818181818181818,2.558139534883721e-08
1,7.909090909090909,2.528735632183908e-08
1,8.0,2.5000000000000002e-08
1,8.09090909090909,2.4719101123595508e-08
1,8.181818181818182,2.4444444444444447e-08
1,8.272727272727273,2.4175824175824175e-08
1,8.363636363636363,2.3913043478260872e-08
1,8.454545454545455,2.3655913978494624e-08
1,8.545454545454547,2.3404255319148936e-08
1,8.636363636363637,2.3157894736842104e-08
1,8.727272727272727,2.291666666666667e-08
1,8.818181818181818,2.268041237113402e-08
1,8.90909090909091,2.2448979591836735e-08
1,9.0,2.2222222222222224e-08
1,9.090909090909092,2.2e-08
1,9.181818181818182,2.178217821782178e-08
1,9.272727272727273,2.156862745098039e-08
1,9.363636363636363,2.1359223300970875e-08
1,9.454545454545455,2.1153846153846153e-08
1,9.545454545454545,2.0952380952380953e-08
1,9.636363636363637,2.0754716981132075e-08
1,9.727272727272727,2.0560747663551403e-08
1,9.818181818181818,2.037037037037037e-08
1,9.90909090909091,2.018348623853211e-08
1,10.0,2e-08
2,1.0,4.0000000000000003e-07
2,1.0909090909090908,3.666666666666667e-07
2,1.1818181818181819,3.3846153846153845e-07
2,1.2727272727272727,3.142857142857143e-07
2,1.3636363636363638,2.933333333333333e-07
2,1.4545454545454546,2.75e-07
2,1.5454545454545454,2.588235294117647e-07
2,1.6363636363636362,2.4444444444444445e-07
2,1.7272727272727273,2.3157894736842104e-07
2,1.8181818181818183,2.1999999999999998e-07
2,1.9090909090909092,2.0952380952380953e-07
2,2.0,2.0000000000000002e-07
2,2.090909090909091,1.9130434782608698e-07
2,2.1818181818181817,1.8333333333333336e-07
2,2.2727272727272725,1.7600000000000001e-07
2,2.3636363636363638,1.6923076923076923e-07
2,2.4545454545454546,1.6296296296296295e-07
2,2.5454545454545454,1.5714285714285714e-07
2,2.6363636363636367,1.5172413793103449e-07
2,2.7272727272727275,1.4666666666666666e-07
2,2.8181818181818183,1.4193548387096775e-07
2,2.909090909090909,1.375e-07
2,3.0,1.3333333333333334e-07
2,3.090909090909091,1.2941176470588236e-07
2,3.1818181818181817,1.2571428571428572e-07
2,3.272727272727273,1.2222222222222222e-07
2,3.3636363636363638,1.1891891891891891e-07
2,3.4545454545454546,1.1578947368421052e-07
2,3.5454545454545454,1.1282051282051284e-07
2,3.6363636363636362,1.1000000000000002e-07
2,3.7272727272727275,1.073170731707317e-07
2,3.8181818181818183,1.0476190476190476e-07
2,3.909090909090909,1.0232558139534884e-07
2,4.0,1.0000000000000001e-07
2,4.090909090909091,9.777777777777779e-08
2,4.181818181818182,9.565217391304349e-08
2,4.272727272727273,9.361702127659574e-08
2,4.363636363636363,9.166666666666668e-08
2,4.454545454545455,8.979591836734694e-08
2,4.545454545454545,8.800000000000001e-08
2,4.636363636363637,8.627450980392157e-08
2,4.7272727272727275,8.461538461538461e-08
2,4.818181818181818,8.30188679245283e-08
2,4.909090909090909,8.148148148148148e-08
2,5.0,8e-08
2,5.090909090909091,7.857142857142857e-08
2,5.181818181818182,7.719298245614035e-08
2,5.2727272727272725,7.586206896551726e-08
2,5.363636363636363,7.457627118644068e-08
2,5.454545454545455,7.333333333333333e-08
2,5.545454545454546,7.21311475409836e-08
2,5.636363636363637,7.096774193548388e-08
2,5.7272727272727275,6.984126984126983e-08
2,5.818181818181818,6.875e-08
2,5.909090909090909,6.769230769230769e-08
2,6.0,6.666666666666667e-08
2,6.090909090909091,6.567164179104479e-08
2,6.181818181818182,6.470588235294118e-08
2,6.2727272727272725,6.376811594202899e-08
2,6.363636363636364,6.285714285714285e-08
2,6.454545454545455,6.197183098591549e-08
2,6.545454545454546,6.111111111111111e-08
2,6.636363636363637,6.027397260273973e-08
2,6.7272727272727275,5.945945945945946e-08
2,6.818181818181818,5.866666666666667e-08
2,6.909090909090909,5.789473684210526e-08
2,7.0,5.7142857142857144e-08
2,7.090909090909091,5.641025641025642e-08
2,7.181818181818182,5.569620253164557e-08
2,7.2727272727272725,5.500000000000001e-08
2,7.363636363636364,5.432098765432098e-08
2,7.454545454545455,5.365853658536585e-08
2,7.545454545454546,5.301204819277108e-08
2,7.636363636363637,5.238095238095238e-08
2,7.7272727272727275,5.176470588235294e-08
2,7.818181818181818,5.116279069767442e-08
2,7.909090909090909,5.057471264367816e-08
2,8.0,5.0000000000000004e-08
2,8.09090909090909,4.9438202247191015e-08
2,8.181818181818182,4.8888888888888894e-08
2,8.272727272727273,4.835164835164835e-08
2,8.363636363636363,4.7826086956521745e-08
2,8.454545454545455,4.731182795698925e-08
2,8.545454545454547,4.680851063829787e-08
2,8.636363636363637,4.631578947368421e-08
2,8.727272727272727,4.583333333333334e-08
2,8.818181818181818,4.536082474226804e-08
2,8.90909090909091,4.489795918367347e-08
2,9.0,4.444444444444445e-08
2,9.090909090909092,4.4e-08
2,9.181818181818182,4.356435643564356e-08
2,9.272727272727273,4.313725490196078e-08
2,9.363636363636363,4.271844660194175e-08
2,9.454545454545455,4.230769230769231e-08
2,9.545454545454545,4.1904761904761906e-08
2,9.636363636363637,4.150943396226415e-08
2,9.727272727272727,4.1121495327102807e-08
2,9.818181818181818,4.074074074074074e-08
2,9.90909090909091,4.036697247706422e-08
2,10.0,4e-08
3,1.0,6e-07
3,1.0909090909090908,5.5e-07
3,1.1818181818181819,5.076923076923076e-07
3,1.2727272727272727,4.7142857142857145e-07
3,1.3636363636363638,4.3999999999999997e-07
3,1.4545454545454546,4.1249999999999997e-07
3,1.5454545454545454,3.8823529411764707e-07
3,1.6363636363636362,3.6666666666666667e-07
3,1.7272727272727273,3.4736842105263157e-07
3,1.8181818181818183,3.2999999999999996e-07
3,1.9090909090909092,3.142857142857143e-07
3,2.0,3e-07
3,2.090909090909091,2.8695652173913043e-07
3,2.1818181818181817,2.75e-07
3,2.2727272727272725,2.6400000000000003e-07
3,2.3636363636363638,2.538461538461538e-07
3,2.4545454545454546,2.4444444444444445e-07
3,2.5454545454545454,2.3571428571428572e-07
3,2.6363636363636367,2.275862068965517e-07
3,2.7272727272727275,2.1999999999999998e-07
3,2.8181818181818183,2.129032258064516e-07
3,2.909090909090909,2.0624999999999998e-07
3,3.0,2e-07
3,3.090909090909091,1.9411764705882353e-07
3,3.1818181818181817,1.8857142857142856e-07
3,3.272727272727273,1.833333333333333e-07
3,3.3636363636363638,1.7837837837837836e-07
3,3.4545454545454546,1.7368421052631578e-07
3,3.5454545454545454,1.6923076923076925e-07
3,3.6363636363636362,1.65e-07
3,3.7272727272727275,1.6097560975609754e-07
3,3.8181818181818183,1.5714285714285714e-07
3,3.909090909090909,1.5348837209302325e-07
3,4.0,1.5e-07
3,4.090909090909091,1.4666666666666666e-07
3,4.181818181818182,1.4347826086956521e-07
3,4.272727272727273,1.404255319148936e-07
3,4.363636363636363,1.375e-07
3,4.454545454545455,1.346938775510204e-07
3,4.545454545454545,1.3200000000000002e-07
3,4.636363636363637,1.2941176470588236e-07
3,4.7272727272727275,1.269230769230769e-07
3,4.818181818181818,1.2452830188679246e-07
3,4.909090909090909,1.2222222222222222e-07
3,5.0,1.2e-07
3,5.090909090909091,1.1785714285714286e-07
3,5.181818181818182,1.1578947368421053e-07
3,5.2727272727272725,1.1379310344827588e-07
3,5.363636363636363,1.1186440677966102e-07
3,5.454545454545455,1.0999999999999999e-07
3,5.545454545454546,1.081967213114754e-07
3,5.636363636363637,1.064516129032258e-07
3,5.7272727272727275,1.0476190476190475e-07
3,5.818181818181818,1.0312499999999999e-07
3,5.909090909090909,1.0153846153846153e-07
3,6.0,1e-07
3,6.090909090909091,9.850746268656717e-08
3,6.181818181818182,9.705882352941177e-08
3,6.2727272727272725,9.565217391304349e-08
3,6.363636363636364,9.428571428571427e-08
3,6.454545454545455,9.295774647887324e-08
3,6.545454545454546,9.166666666666665e-08
3,6.636363636363637,9.041095890410958e-08
3,6.7272727272727275,8.918918918918918e-08
3,6.818181818181818,8.8e-08
3,6.909090909090909,8.684210526315789e-08
3,7.0,8.571428571428572e-08
3,7.090909090909091,8.461538461538463e-08
3,7.181818181818182,8.354430379746835e-08
3,7.2727272727272725,8.25e-08
3,7.363636363636364,8.148148148148146e-08
3,7.454545454545455,8.048780487804877e-08
3,7.545454545454546,7.951807228915662e-08
3,7.636363636363637,7.857142857142857e-08
3,7.7272727272727275,7.76470588235294e-08
3,7.818181818181818,7.674418604651163e-08
3,7.909090909090909,7.586206896551723e-08
3,8.0,7.5e-08
3,8.09090909090909,7.415730337078652e-08
3,8.181818181818182,7.333333333333333e-08
3,8.272727272727273,7.252747252747253e-08
3,8.363636363636363,7.173913043478261e-08
3,8.454545454545455,7.096774193548386e-08
3,8.545454545454547,7.02127659574468e-08
3,8.636363636363637,6.947368421052632e-08
3,8.727272727272727,6.875e-08
3,8.818181818181818,6.804123711340206e-08
3,8.90909090909091,6.73469387755102e-08
3,9.0,6.666666666666667e-08
3,9.090909090909092,6.6e-08
3,9.181818181818182,6.534653465346535e-08
3,9.272727272727273,6.470588235294118e-08
3,9.363636363636363,6.407766990291263e-08
3,9.454545454545455,6.346153846153845e-08
3,9.545454545454545,6.285714285714286e-08
3,9.636363636363637,6.226415094339623e-08
3,9.727272727272727,6.168224299065421e-08
3,9.818181818181818,6.111111111111111e-08
3,9.90909090909091,6.055045871559632e-08
3,10.0,6e-08
4,1.0,8.000000000000001e-07
4,1.0909090909090908,7.333333333333334e-07
4,1.1818181818181819,6.769230769230769e-07
4,1.2727272727272727,6.285714285714286e-07
4,1.3636363636363638,5.866666666666666e-07
4,1.4545454545454546,5.5e-07
4,1.5454545454545454,5.176470588235294e-07
4,1.6363636363636362,4.888888888888889e-07
4,1.7272727272727273,4.6315789473684207e-07
4,1.8181818181818183,4.3999999999999997e-07
4,1.9090909090909092,4.1904761904761906e-07
4,2.0,4.0000000000000003e-07
4,2.090909090909091,3.8260869565217396e-07
4,2.1818181818181817,3.666666666666667e-07
4,2.2727272727272725,3.5200000000000003e-07
4,2.3636363636363638,3.3846153846153845e-07
4,2.4545454545454546,3.259259259259259e-07
4,2.5454545454545454,3.142857142857143e-07
4,2.6363636363636367,3.0344827586206897e-07
4,2.7272727272727275,2.933333333333333e-07
4,2.8181818181818183,2.838709677419355e-07
4,2.909090909090909,2.75e-07
4,3.0,2.6666666666666667e-07
4,3.090909090909091,2.588235294117647e-07
4,3.1818181818181817,2.5142857142857143e-07
4,3.272727272727273,2.4444444444444445e-07
4,3.3636363636363638,2.3783783783783783e-07
4,3.4545454545454546,2.3157894736842104e-07
4,3.5454545454545454,2.2564102564102568e-07
4,3.6363636363636362,2.2000000000000004e-07
4,3.7272727272727275,2.146341463414634e-07
4,3.8181818181818183,2.0952380952380953e-07
4,3.909090909090909,2.046511627906977e-07
4,4.0,2.0000000000000002e-07
4,4.090909090909091,1.9555555555555558e-07
4,4.181818181818182,1.9130434782608698e-07
4,4.272727272727273,1.872340425531915e-07
4,4.363636363636363,1.8333333333333336e-07
4,4.454545454545455,1.7959183673469388e-07
4,4.545454545454545,1.7600000000000001e-07
4,4.636363636363637,1.7254901960784313e-07
4,4.7272727272727275,1.6923076923076923e-07
4,4.818181818181818,1.660377358490566e-07
4,4.909090909090909,1.6296296296296295e-07
4,5.0,1.6e-07
4,5.090909090909091,1.5714285714285714e-07
4,5.181818181818182,1.543859649122807e-07
4,5.2727272727272725,1.517241379310345e-07
4,5.363636363636363,1.4915254237288137e-07
4,5.454545454545455,1.4666666666666666e-07
4,5.545454545454546,1.442622950819672e-07
4,5.636363636363637,1.4193548387096775e-07
4,5.7272727272727275,1.3968253968253967e-07
4,5.818181818181818,1.375e-07
4,5.909090909090909,1.3538461538461537e-07
4,6.0,1.3333333333333334e-07
4,6.090909090909091,1.3134328358208957e-07
4,6.181818181818182,1.2941176470588236e-07
4,6.2727272727272725,1.2753623188405798e-07
4,6.363636363636364,1.257142857142857e-07
4,6.454545454545455,1.2394366197183097e-07
4,6.545454545454546,1.2222222222222222e-07
4,6.636363636363637,1.2054794520547946e-07
4,6.7272727272727275,1.1891891891891891e-07
4,6.818181818181818,1.1733333333333334e-07
4,6.909090909090909,1.1578947368421052e-07
4,7.0,1.1428571428571429e-07
4,7.090909090909091,1.1282051282051284e-07
4,7.181818181818182,1.1139240506329114e-07
4,7.2727272727272725,1.1000000000000002e-07
4,7.363636363636364,1.0864197530864196e-07
4,7.454545454545455,1.073170731707317e-07
4,7.545454545454546,1.0602409638554216e-07
4,7.636363636363637,1.0476190476190476e-07
4,7.7272727272727275,1.0352941176470588e-07
4,7.818181818181818,1.0232558139534884e-07
4,7.909090909090909,1.0114942528735632e-07
4,8.0,1.0000000000000001e-07
4,8.09090909090909,9.887640449438203e-08
4,8.181818181818182,9.777777777777779e-08
4,8.272727272727273,9.67032967032967e-08
4,8.363636363636363,9.565217391304349e-08
4,8.454545454545455,9.46236559139785e-08
4,8.545454545454547,9.361702127659574e-08
4,8.636363636363637,9.263157894736842e-08
4,8.727272727272727,9.166666666666668e-08
4,8.818181818181818,9.072164948453609e-08
4,8.90909090909091,8.979591836734694e-08
4,9.0,8.88888888888889e-08
4,9.090909090909092,8.8e-08
4,9.181818181818182,8.712871287128713e-08
4,9.272727272727273,8.627450980392157e-08
4,9.363636363636363,8.54368932038835e-08
4,9.454545454545455,8.461538461538461e-08
4,9.545454545454545,8.380952380952381e-08
4,9.636363636363637,8.30188679245283e-08
4,9.727272727272727,8.224299065420561e-08
4,9.818181818181818,8.148148148148148e-08
4,9.90909090909091,8.073394495412844e-08
4,10.0,8e-08
5,1.0,1.0000000000000002e-06
5,1.0909090909090908,9.166666666666667e-07
5,1.1818181818181819,8.461538461538462e-07
5,1.2727272727272727,7.857142857142857e-07
5,1.3636363636363638,7.333333333333333e-07
5,1.4545454545454546,6.875e-07
5,1.5454545454545454,6.470588235294118e-07
5,1.6363636363636362,6.111111111111112e-07
5,1.7272727272727273,5.789473684210526e-07
5,1.8181818181818183,5.5e-07
5,1.9090909090909092,5.238095238095238e-07
5,2.0,5.000000000000001e-07
5,2.090909090909091,4.782608695652174e-07
5,2.1818181818181817,4.583333333333334e-07
5,2.2727272727272725,4.400000000000001e-07
5,2.3636363636363638,4.230769230769231e-07
5,2.4545454545454546,4.074074074074074e-07
5,2.5454545454545454,3.9285714285714286e-07
5,2.6363636363636367,3.793103448275862e-07
5,2.7272727272727275,3.6666666666666667e-07
5,2.8181818181818183,3.5483870967741936e-07
5,2.909090909090909,3.4375e-07
5,3.0,3.3333333333333335e-07
5,3.090909090909091,3.235294117647059e-07
5,3.1818181818181817,3.1428571428571433e-07
5,3.272727272727273,3.0555555555555553e-07
5,3.3636363636363638,2.9729729729729727e-07
5,3.4545454545454546,2.894736842105263e-07
5,3.5454545454545454,2.820512820512821e-07
5,3.6363636363636362,2.7500000000000007e-07
5,3.7272727272727275,2.682926829268293e-07
5,3.8181818181818183,2.619047619047619e-07
5,3.909090909090909,2.558139534883721e-07
5,4.0,2.5000000000000004e-07
5,4.090909090909091,2.4444444444444445e-07
5,4.181818181818182,2.391304347826087e-07
5,4.272727272727273,2.3404255319148937e-07
5,4.363636363636363,2.291666666666667e-07
5,4.454545454545455,2.2448979591836735e-07
5,4.545454545454545,2.2000000000000004e-07
5,4.636363636363637,2.1568627450980394e-07
5,4.7272727272727275,2.1153846153846155e-07
5,4.818181818181818,2.0754716981132077e-07
5,4.909090909090909,2.037037037037037e-07
5,5.0,2.0000000000000002e-07
5,5.090909090909091,1.9642857142857143e-07
5,5.181818181818182,1.9298245614035088e-07
5,5.2727272727272725,1.8965517241379315e-07
5,5.363636363636363,1.864406779661017e-07
5,5.454545454545455,1.8333333333333333e-07
5,5.545454545454546,1.80327868852459e-07
5,5.636363636363637,1.7741935483870968e-07
5,5.7272727272727275,1.7460317460317458e-07
5,5.818181818181818,1.71875e-07
5,5.909090909090909,1.6923076923076923e-07
5,6.0,1.6666666666666668e-07
5,6.090909090909091,1.6417910447761198e-07
5,6.181818181818182,1.6176470588235296e-07
5,6.2727272727272725,1.594202898550725e-07
5,6.363636363636364,1.5714285714285714e-07
5,6.454545454545455,1.5492957746478874e-07
5,6.545454545454546,1.5277777777777776e-07
5,6.636363636363637,1.506849315068493e-07
5,6.7272727272727275,1.4864864864864864e-07
5,6.818181818181818,1.4666666666666668e-07
5,6.909090909090909,1.4473684210526316e-07
5,7.0,1.4285714285714287e-07
5,7.090909090909091,1.4102564102564104e-07
5,7.181818181818182,1.3924050632911394e-07
5,7.2727272727272725,1.3750000000000003e-07
5,7.363636363636364,1.3580246913580246e-07
5,7.454545454545455,1.3414634146341465e-07
5,7.545454545454546,1.325301204819277e-07
5,7.636363636363637,1.3095238095238095e-07
5,7.7272727272727275,1.2941176470588236e-07
5,7.818181818181818,1.2790697674418605e-07
5,7.909090909090909,1.264367816091954e-07
5,8.0,1.2500000000000002e-07
5,8.09090909090909,1.2359550561797755e-07
5,8.181818181818182,1.2222222222222222e-07
5,8.272727272727273,1.2087912087912088e-07
5,8.363636363636363,1.1956521739130436e-07
5,8.454545454545455,1.1827956989247312e-07
5,8.545454545454547,1.1702127659574468e-07
5,8.636363636363637,1.1578947368421053e-07
5,8.727272727272727,1.1458333333333334e-07
5,8.818181818181818,1.1340206185567011e-07
5,8.90909090909091,1.1224489795918368e-07
5,9.0,1.1111111111111112e-07
5,9.090909090909092,1.1e-07
5,9.181818181818182,1.0891089108910891e-07
5,9.272727272727273,1.0784313725490197e-07
5,9.363636363636363,1.0679611650485438e-07
5,9.454545454545455,1.0576923076923077e-07
5,9.545454545454545,1.0476190476190478e-07
5,9.636363636363637,1.0377358490566039e-07
5,9.727272727272727,1.0280373831775703e-07
